time,value,date
00:28:16,77,2022-11-26
00:28:21,78,2022-11-26
00:28:26,79,2022-11-26
00:28:31,78,2022-11-26
00:28:46,78,2022-11-26
00:28:51,79,2022-11-26
00:29:01,78,2022-11-26
00:29:11,77,2022-11-26
00:29:16,75,2022-11-26
00:29:21,74,2022-11-26
00:29:31,73,2022-11-26
00:29:41,74,2022-11-26
00:29:46,73,2022-11-26
00:29:51,72,2022-11-26
00:30:01,71,2022-11-26
00:30:06,71,2022-11-26
00:30:16,70,2022-11-26
00:30:31,70,2022-11-26
00:30:36,69,2022-11-26
00:30:41,66,2022-11-26
00:30:46,65,2022-11-26
00:30:56,65,2022-11-26
00:31:06,66,2022-11-26
00:31:16,66,2022-11-26
00:31:26,67,2022-11-26
00:31:31,69,2022-11-26
00:31:36,70,2022-11-26
00:31:41,75,2022-11-26
00:31:46,82,2022-11-26
00:31:51,84,2022-11-26
00:31:56,83,2022-11-26
00:32:01,82,2022-11-26
00:32:06,81,2022-11-26
00:32:16,80,2022-11-26
00:32:21,78,2022-11-26
00:32:26,76,2022-11-26
00:32:41,76,2022-11-26
00:32:51,75,2022-11-26
00:32:56,74,2022-11-26
00:33:06,73,2022-11-26
00:33:16,73,2022-11-26
00:33:21,74,2022-11-26
00:33:31,73,2022-11-26
00:33:36,72,2022-11-26
00:33:41,71,2022-11-26
00:33:56,71,2022-11-26
00:34:01,72,2022-11-26
00:34:11,75,2022-11-26
00:34:16,78,2022-11-26
00:34:21,79,2022-11-26
00:34:26,77,2022-11-26
00:34:36,76,2022-11-26
00:34:41,74,2022-11-26
00:34:46,73,2022-11-26
00:34:51,74,2022-11-26
00:34:56,72,2022-11-26
00:35:01,71,2022-11-26
00:35:06,70,2022-11-26
00:35:16,71,2022-11-26
00:35:31,71,2022-11-26
00:35:36,72,2022-11-26
00:35:52,72,2022-11-26
00:35:57,72,2022-11-26
00:36:02,73,2022-11-26
00:36:07,73,2022-11-26
00:36:12,74,2022-11-26
00:36:17,73,2022-11-26
00:36:22,72,2022-11-26
00:36:32,71,2022-11-26
00:36:42,72,2022-11-26
00:36:47,75,2022-11-26
00:36:52,80,2022-11-26
00:37:02,77,2022-11-26
00:37:07,75,2022-11-26
00:37:12,73,2022-11-26
00:37:17,71,2022-11-26
00:37:22,71,2022-11-26
00:37:37,74,2022-11-26
00:37:42,76,2022-11-26
00:37:52,77,2022-11-26
00:37:57,79,2022-11-26
00:38:02,81,2022-11-26
00:38:12,79,2022-11-26
00:38:17,79,2022-11-26
00:38:22,78,2022-11-26
00:38:32,77,2022-11-26
00:38:37,73,2022-11-26
00:38:42,70,2022-11-26
00:38:47,69,2022-11-26
00:38:52,70,2022-11-26
00:38:57,71,2022-11-26
00:39:02,71,2022-11-26
00:39:12,71,2022-11-26
00:39:22,72,2022-11-26
00:39:37,72,2022-11-26
00:39:47,75,2022-11-26
00:39:57,74,2022-11-26
00:40:02,73,2022-11-26
00:40:07,71,2022-11-26
00:40:17,71,2022-11-26
00:40:32,70,2022-11-26
00:40:47,72,2022-11-26
00:41:02,73,2022-11-26
00:41:17,73,2022-11-26
00:41:27,74,2022-11-26
00:41:37,75,2022-11-26
00:41:42,76,2022-11-26
00:41:57,76,2022-11-26
00:42:12,76,2022-11-26
00:42:27,76,2022-11-26
00:42:42,76,2022-11-26
00:42:57,76,2022-11-26
00:43:12,76,2022-11-26
00:43:17,77,2022-11-26
00:43:22,79,2022-11-26
00:43:27,79,2022-11-26
00:43:32,80,2022-11-26
00:43:37,81,2022-11-26
00:43:52,82,2022-11-26
00:43:57,82,2022-11-26
00:44:07,83,2022-11-26
00:44:17,82,2022-11-26
00:44:22,82,2022-11-26
00:44:37,82,2022-11-26
00:44:52,82,2022-11-26
00:44:57,82,2022-11-26
00:45:12,82,2022-11-26
00:45:27,82,2022-11-26
00:45:42,79,2022-11-26
00:45:47,77,2022-11-26
00:45:52,76,2022-11-26
00:46:07,76,2022-11-26
00:46:22,76,2022-11-26
00:46:37,76,2022-11-26
00:46:52,76,2022-11-26
00:47:02,78,2022-11-26
00:47:07,95,2022-11-26
00:47:12,97,2022-11-26
00:47:27,97,2022-11-26
00:47:42,98,2022-11-26
00:47:47,99,2022-11-26
00:47:52,98,2022-11-26
00:47:57,99,2022-11-26
00:48:02,98,2022-11-26
00:48:07,98,2022-11-26
00:48:22,99,2022-11-26
00:48:27,102,2022-11-26
00:48:32,103,2022-11-26
00:48:37,104,2022-11-26
00:48:52,104,2022-11-26
00:48:57,103,2022-11-26
00:49:02,103,2022-11-26
00:49:17,104,2022-11-26
00:49:32,104,2022-11-26
00:49:47,104,2022-11-26
00:49:57,105,2022-11-26
00:50:02,101,2022-11-26
00:50:07,105,2022-11-26
00:50:12,108,2022-11-26
00:50:17,107,2022-11-26
00:50:22,105,2022-11-26
00:50:32,106,2022-11-26
00:50:54,107,2022-11-26
00:50:59,109,2022-11-26
00:51:09,106,2022-11-26
00:51:14,104,2022-11-26
00:51:29,104,2022-11-26
00:51:34,105,2022-11-26
00:51:39,106,2022-11-26
00:51:44,106,2022-11-26
00:51:54,107,2022-11-26
00:51:59,106,2022-11-26
00:52:04,105,2022-11-26
00:52:09,106,2022-11-26
00:52:14,105,2022-11-26
00:52:19,103,2022-11-26
00:52:24,102,2022-11-26
00:52:34,103,2022-11-26
00:52:39,102,2022-11-26
00:52:54,102,2022-11-26
00:52:59,103,2022-11-26
00:53:09,104,2022-11-26
00:53:14,105,2022-11-26
00:53:19,106,2022-11-26
00:53:34,106,2022-11-26
00:53:44,107,2022-11-26
00:53:49,108,2022-11-26
00:54:04,108,2022-11-26
00:54:09,107,2022-11-26
00:59:48,70,2022-11-26
01:00:03,95,2022-11-26
01:00:08,102,2022-11-26
01:00:18,99,2022-11-26
01:00:28,97,2022-11-26
01:00:33,99,2022-11-26
01:00:38,97,2022-11-26
01:00:43,101,2022-11-26
01:00:48,106,2022-11-26
01:00:53,108,2022-11-26
01:00:58,111,2022-11-26
01:01:03,112,2022-11-26
01:01:08,115,2022-11-26
01:01:13,116,2022-11-26
01:01:18,116,2022-11-26
01:01:28,116,2022-11-26
01:01:33,116,2022-11-26
01:01:48,115,2022-11-26
01:01:58,116,2022-11-26
01:02:08,114,2022-11-26
01:02:13,112,2022-11-26
01:02:18,110,2022-11-26
01:02:23,111,2022-11-26
01:02:33,112,2022-11-26
01:02:38,113,2022-11-26
01:02:43,114,2022-11-26
01:02:48,117,2022-11-26
01:02:53,121,2022-11-26
01:02:58,122,2022-11-26
01:03:03,121,2022-11-26
01:03:08,120,2022-11-26
01:03:18,120,2022-11-26
01:03:23,118,2022-11-26
01:03:28,112,2022-11-26
01:03:33,109,2022-11-26
01:03:38,109,2022-11-26
01:03:48,108,2022-11-26
01:03:58,109,2022-11-26
01:04:13,108,2022-11-26
01:04:18,107,2022-11-26
01:04:23,108,2022-11-26
01:04:28,103,2022-11-26
01:04:33,99,2022-11-26
01:04:38,98,2022-11-26
01:04:43,92,2022-11-26
01:04:48,91,2022-11-26
01:04:53,97,2022-11-26
01:04:58,101,2022-11-26
01:05:03,103,2022-11-26
01:05:08,105,2022-11-26
01:05:13,102,2022-11-26
01:05:18,102,2022-11-26
01:05:33,102,2022-11-26
01:05:38,102,2022-11-26
01:05:43,102,2022-11-26
01:05:48,104,2022-11-26
01:05:53,105,2022-11-26
01:06:09,105,2022-11-26
01:06:14,106,2022-11-26
01:06:21,106,2022-11-26
01:06:31,108,2022-11-26
01:06:46,108,2022-11-26
01:06:51,109,2022-11-26
01:06:56,108,2022-11-26
01:07:01,115,2022-11-26
01:07:06,114,2022-11-26
01:07:11,113,2022-11-26
01:07:16,107,2022-11-26
01:07:21,105,2022-11-26
01:07:36,104,2022-11-26
01:07:41,95,2022-11-26
01:07:46,89,2022-11-26
01:07:51,85,2022-11-26
01:07:56,84,2022-11-26
01:08:01,83,2022-11-26
01:08:06,82,2022-11-26
01:08:11,82,2022-11-26
01:08:21,83,2022-11-26
01:08:26,82,2022-11-26
01:08:31,79,2022-11-26
01:08:36,80,2022-11-26
01:08:41,80,2022-11-26
01:08:51,82,2022-11-26
01:08:56,81,2022-11-26
01:09:01,79,2022-11-26
01:09:06,78,2022-11-26
01:09:11,77,2022-11-26
01:09:26,76,2022-11-26
01:09:41,76,2022-11-26
01:09:46,77,2022-11-26
01:09:56,78,2022-11-26
01:10:01,79,2022-11-26
01:10:06,76,2022-11-26
01:10:11,74,2022-11-26
01:10:16,74,2022-11-26
01:10:21,75,2022-11-26
01:10:26,76,2022-11-26
01:10:31,75,2022-11-26
01:10:41,74,2022-11-26
01:10:46,75,2022-11-26
01:10:56,75,2022-11-26
01:11:01,76,2022-11-26
